"","Year","Area","Cancer.Type","Age.Adjusted.Rate","Death.Count","Population"
"226",2003,"Kentucky","Liver and Intrahepatic Bile Duct",4.8,201,4117170
"227",2003,"Louisiana","Liver and Intrahepatic Bile Duct",6.3,272,4521042
"228",2003,"Maine","Liver and Intrahepatic Bile Duct",3.4,50,1306513
"229",2003,"Maryland","Liver and Intrahepatic Bile Duct",4.8,259,5496269
"230",2003,"Massachusetts","Liver and Intrahepatic Bile Duct",4.6,317,6422565
"231",2003,"Michigan","Liver and Intrahepatic Bile Duct",4.8,496,10041152
"232",2003,"Minnesota","Liver and Intrahepatic Bile Duct",4.5,223,5053572
"233",2003,"Mississippi","Liver and Intrahepatic Bile Duct",6.8,191,2868312
"234",2003,"Missouri","Liver and Intrahepatic Bile Duct",4.8,294,5709403
"235",2003,"Montana","Liver and Intrahepatic Bile Duct",3.5,36,919630
"236",2003,"Nebraska","Liver and Intrahepatic Bile Duct",3.5,65,1738643
"237",2003,"Nevada","Liver and Intrahepatic Bile Duct",4.8,103,2248850
"238",2003,"New Hampshire","Liver and Intrahepatic Bile Duct",4,52,1279840
"239",2003,"New Jersey","Liver and Intrahepatic Bile Duct",5.1,464,8601402
"240",2003,"New Mexico","Liver and Intrahepatic Bile Duct",6,114,1877574
"241",2003,"New York","Liver and Intrahepatic Bile Duct",4.8,963,19175939
"242",2003,"North Carolina","Liver and Intrahepatic Bile Duct",4.4,367,8422501
"243",2003,"North Dakota","Liver and Intrahepatic Bile Duct",4.3,31,638817
"244",2003,"Ohio","Liver and Intrahepatic Bile Duct",4.2,517,11434788
"245",2003,"Oklahoma","Liver and Intrahepatic Bile Duct",4.3,159,3504892
"246",2003,"Oregon","Liver and Intrahepatic Bile Duct",4.5,172,3547376
"247",2003,"Pennsylvania","Liver and Intrahepatic Bile Duct",5,734,12374658
"248",2003,"Rhode Island","Liver and Intrahepatic Bile Duct",6,73,1071342
"249",2003,"South Carolina","Liver and Intrahepatic Bile Duct",4.9,205,4150297
"250",2003,"South Dakota","Liver and Intrahepatic Bile Duct",3.6,30,763729
"251",2003,"Tennessee","Liver and Intrahepatic Bile Duct",5,300,5847812
"252",2003,"Texas","Liver and Intrahepatic Bile Duct",6.4,1185,22030931
"253",2003,"United States","Liver and Intrahepatic Bile Duct",5,14706,290107933
"254",2003,"Utah","Liver and Intrahepatic Bile Duct",3.4,61,2360137
"255",2003,"Vermont","Liver and Intrahepatic Bile Duct",3.8,25,617858
"256",2003,"Virginia","Liver and Intrahepatic Bile Duct",4.4,315,7366977
"257",2003,"Washington","Liver and Intrahepatic Bile Duct",5.3,318,6104115
"258",2003,"West Virginia","Liver and Intrahepatic Bile Duct",4.2,93,1812295
"259",2003,"Wisconsin","Liver and Intrahepatic Bile Duct",4.6,264,5479203
"260",2003,"Wyoming","Liver and Intrahepatic Bile Duct",4.4,23,503453
"261",2004,"Alabama","Liver and Intrahepatic Bile Duct",5.6,268,4530729
"262",2004,"Alaska","Liver and Intrahepatic Bile Duct",8.2,34,659286
"263",2004,"Arizona","Liver and Intrahepatic Bile Duct",5.3,307,5652404
"264",2004,"Arkansas","Liver and Intrahepatic Bile Duct",6.3,190,2749686
"265",2004,"California","Liver and Intrahepatic Bile Duct",6.2,1985,35574576
"266",2004,"Colorado","Liver and Intrahepatic Bile Duct",4.5,179,4575013
"267",2004,"Connecticut","Liver and Intrahepatic Bile Duct",4.7,184,3496094
"268",2004,"Delaware","Liver and Intrahepatic Bile Duct",4.1,36,830803
"269",2004,"District of Columbia","Liver and Intrahepatic Bile Duct",6.2,35,567754
"270",2004,"Florida","Liver and Intrahepatic Bile Duct",4.8,1039,17415318
"271",2004,"Georgia","Liver and Intrahepatic Bile Duct",4.2,319,8769252
"272",2004,"Hawaii","Liver and Intrahepatic Bile Duct",8.1,112,1273569
"273",2004,"Idaho","Liver and Intrahepatic Bile Duct",3.6,48,1391802
