cancer,year,cancer population
lung_cancer,2002,575250386
lung_cancer,2003,580215866
lung_cancer,2004,585610596
lung_cancer,2005,590829261
lung_cancer,2006,596759824
lung_cancer,2007,602462414
lung_cancer,2008,608187932
lung_cancer,2009,613543058
lung_cancer,2010,618643332
lung_cancer,2011,623113748
lung_cancer,2012,627661980
