cancer,year,cancer population
female_breast,2002,292789268
female_breast,2003,295358072
female_breast,2004,297954572
female_breast,2005,300532988
female_breast,2006,303465294
female_breast,2007,306332706
female_breast,2008,309208030
female_breast,2009,311928150
female_breast,2010,314493816
female_breast,2011,316713632
female_breast,2012,318913186
