"","Year","Area","Cancer.Type","Age.Adjusted.Rate","Death.Count","Population"
"553",2009,"New York","Lung and Bronchus",42.2,9005,19307066
"554",2009,"North Carolina","Lung and Bronchus",54,5395,9449566
"555",2009,"North Dakota","Lung and Bronchus",39.1,309,664968
"556",2009,"Ohio","Lung and Bronchus",56.7,7498,11528896
"557",2009,"Oklahoma","Lung and Bronchus",60.1,2444,3717572
"558",2009,"Oregon","Lung and Bronchus",48.4,2069,3808600
"559",2009,"Pennsylvania","Lung and Bronchus",49.2,7760,12666858
"560",2009,"Rhode Island","Lung and Bronchus",48.8,611,1053646
"561",2009,"South Carolina","Lung and Bronchus",54.8,2778,4589872
"562",2009,"South Dakota","Lung and Bronchus",41.2,386,807067
"563",2009,"Tennessee","Lung and Bronchus",63.5,4390,6306019
"564",2009,"Texas","Lung and Bronchus",44.8,9575,24801761
"565",2009,"United States","Lung and Bronchus",48.4,158081,306771529
"566",2009,"Utah","Lung and Bronchus",21,424,2723421
"567",2009,"Vermont","Lung and Bronchus",50.2,374,624817
"568",2009,"Virginia","Lung and Bronchus",49.8,4002,7925937
"569",2009,"Washington","Lung and Bronchus",47.5,3212,6667426
"570",2009,"West Virginia","Lung and Bronchus",65.2,1560,1847775
"571",2009,"Wisconsin","Lung and Bronchus",45.5,2884,5669264
"572",2009,"Wyoming","Lung and Bronchus",41.7,240,559851
"573",2010,"Alabama","Lung and Bronchus",59.7,3236,4785437
"574",2010,"Alaska","Lung and Bronchus",49.8,241,713910
"575",2010,"Arizona","Lung and Bronchus",38.7,2722,6407172
"576",2010,"Arkansas","Lung and Bronchus",62.6,2127,2921964
