"","Year","Area","Cancer.Type","Age.Adjusted.Rate","Death.Count","Population"
"241",2003,"New York","Lung and Bronchus",47.2,9453,19175939
"242",2003,"North Carolina","Lung and Bronchus",57.7,4848,8422501
"243",2003,"North Dakota","Lung and Bronchus",43.5,316,638817
"244",2003,"Ohio","Lung and Bronchus",60.6,7411,11434788
"245",2003,"Oklahoma","Lung and Bronchus",62.5,2312,3504892
"246",2003,"Oregon","Lung and Bronchus",55.3,2062,3547376
"247",2003,"Pennsylvania","Lung and Bronchus",53.3,7949,12374658
"248",2003,"Rhode Island","Lung and Bronchus",54.2,644,1071342
"249",2003,"South Carolina","Lung and Bronchus",62,2625,4150297
"250",2003,"South Dakota","Lung and Bronchus",47.7,405,763729
"251",2003,"Tennessee","Lung and Bronchus",67.4,4045,5847812
"252",2003,"Texas","Lung and Bronchus",53.8,9725,22030931
"253",2003,"United States","Lung and Bronchus",54.2,157990,290107933
"254",2003,"Utah","Lung and Bronchus",24.7,412,2360137
"255",2003,"Vermont","Lung and Bronchus",48.8,320,617858
"256",2003,"Virginia","Lung and Bronchus",57.6,4024,7366977
"257",2003,"Washington","Lung and Bronchus",55.7,3188,6104115
"258",2003,"West Virginia","Lung and Bronchus",66.3,1468,1812295
"259",2003,"Wisconsin","Lung and Bronchus",47.3,2725,5479203
"260",2003,"Wyoming","Lung and Bronchus",49.2,245,503453
"261",2004,"Alabama","Lung and Bronchus",62.9,3051,4530729
"262",2004,"Alaska","Lung and Bronchus",58.1,229,659286
"263",2004,"Arizona","Lung and Bronchus",46.2,2687,5652404
"264",2004,"Arkansas","Lung and Bronchus",68.7,2100,2749686
"265",2004,"California","Lung and Bronchus",42.7,13399,35574576
"266",2004,"Colorado","Lung and Bronchus",39.4,1501,4575013
"267",2004,"Connecticut","Lung and Bronchus",49.7,1927,3496094
"268",2004,"Delaware","Lung and Bronchus",65.8,583,830803
"269",2004,"District of Columbia","Lung and Bronchus",50.7,283,567754
"270",2004,"Florida","Lung and Bronchus",53.7,12065,17415318
"271",2004,"Georgia","Lung and Bronchus",59,4313,8769252
"272",2004,"Hawaii","Lung and Bronchus",37.7,523,1273569
"273",2004,"Idaho","Lung and Bronchus",41.2,535,1391802
"274",2004,"Illinois","Lung and Bronchus",55,6804,12589773
"275",2004,"Indiana","Lung and Bronchus",60.8,3825,6233007
"276",2004,"Iowa","Lung and Bronchus",53.6,1823,2953635
"277",2004,"Kansas","Lung and Bronchus",54,1544,2734373
"278",2004,"Kentucky","Lung and Bronchus",77.2,3314,4146101
"279",2004,"Louisiana","Lung and Bronchus",66.6,2916,4552238
"280",2004,"Maine","Lung and Bronchus",61.5,951,1313688
"281",2004,"Maryland","Lung and Bronchus",53.4,2845,5546935
"282",2004,"Massachusetts","Lung and Bronchus",52.2,3612,6412281
"283",2004,"Michigan","Lung and Bronchus",56.7,5824,10055315
"284",2004,"Minnesota","Lung and Bronchus",46.9,2355,5087713
"285",2004,"Mississippi","Lung and Bronchus",68.5,1969,2889010
"286",2004,"Missouri","Lung and Bronchus",65.3,4033,5747741
"287",2004,"Montana","Lung and Bronchus",48.6,503,930009
"288",2004,"Nebraska","Lung and Bronchus",47.5,877,1749370
"289",2004,"Nevada","Lung and Bronchus",56.5,1239,2346222
"290",2004,"New Hampshire","Lung and Bronchus",56.5,731,1290121
"291",2004,"New Jersey","Lung and Bronchus",48.9,4487,8634561
"292",2004,"New Mexico","Lung and Bronchus",36,676,1903808
"293",2004,"New York","Lung and Bronchus",46.4,9384,19171567
"294",2004,"North Carolina","Lung and Bronchus",58.6,5033,8553152
"295",2004,"North Dakota","Lung and Bronchus",48.2,358,644705
"296",2004,"Ohio","Lung and Bronchus",60.2,7427,11452251
"297",2004,"Oklahoma","Lung and Bronchus",63.1,2359,3525233
"298",2004,"Oregon","Lung and Bronchus",54.4,2067,3569463
"299",2004,"Pennsylvania","Lung and Bronchus",53.2,7973,12410722
