year,female,male
2002,39.431,56.992
2003,40.827,58.364
2004,39.741,57.029
2005,40.653,57.403
2006,40.947,56.861
2007,41.446,57.66
2008,41.903,58.159
2009,41.801,57.956
2010,42.367,57.812
2011,43.518,58.588
2012,42.136,57.783
