"","Year","Area","Cancer.Type","Age.Adjusted.Rate","Case.Count","Population"
"269",2004,"District of Columbia","Thyroid","8.3","48",567754
"270",2004,"Florida","Thyroid","8.4","1590",17415318
"271",2004,"Georgia","Thyroid","8.3","709",8769252
"272",2004,"Hawaii","Thyroid","10","130",1273569
"273",2004,"Idaho","Thyroid","10.2","139",1391802
"274",2004,"Illinois","Thyroid","10","1256",12589773
"275",2004,"Indiana","Thyroid","8.3","522",6233007
"276",2004,"Iowa","Thyroid","10.1","300",2953635
"277",2004,"Kansas","Thyroid","11.9","322",2734373
"278",2004,"Kentucky","Thyroid","9.6","407",4146101
"279",2004,"Louisiana","Thyroid","7.6","344",4552238
"280",2004,"Maine","Thyroid","9.4","128",1313688
"281",2004,"Maryland","Thyroid","11.2","643",5546935
"282",2004,"Massachusetts","Thyroid","12.7","850",6412281
"283",2004,"Michigan","Thyroid","8.6","867",10055315
"284",2004,"Minnesota","Thyroid","9.2","476",5087713
"285",2004,"Mississippi","Thyroid","7.9","225",2889010
"286",2004,"Missouri","Thyroid","9.6","562",5747741
"287",2004,"Montana","Thyroid","10.1","99",930009
"288",2004,"Nebraska","Thyroid","10.1","178",1749370
"289",2004,"Nevada","Thyroid","11.8","284",2346222
"290",2004,"New Hampshire","Thyroid","11.6","157",1290121
"291",2004,"New Jersey","Thyroid","13.1","1175",8634561
"292",2004,"New Mexico","Thyroid","12.9","246",1903808
"293",2004,"New York","Thyroid","10.9","2163",19171567
"294",2004,"North Carolina","Thyroid","8.1","703",8553152
"295",2004,"North Dakota","Thyroid","9.5","60",644705
"296",2004,"Ohio","Thyroid","8.4","980",11452251
"297",2004,"Oklahoma","Thyroid","5.6","199",3525233
"298",2004,"Oregon","Thyroid","8.5","311",3569463
"299",2004,"Pennsylvania","Thyroid","13.6","1776",12410722
"300",2004,"Rhode Island","Thyroid","12.1","131",1074579
"301",2004,"South Carolina","Thyroid","7","303",4210921
"302",2004,"South Dakota","Thyroid","7.4","57",770396
"303",2004,"Tennessee","Thyroid","9","550",5910809
"304",2004,"Texas","Thyroid","9.2","1941",22394023
"305",2004,"United States","Thyroid","9.6","28295",292805298
"306",2004,"Utah","Thyroid","13.3","277",2401580
"307",2004,"Vermont","Thyroid","10.5","69",619920
"308",2004,"Virginia","Thyroid","7.5","579",7475575
"309",2004,"Washington","Thyroid","9.6","603",6178645
"310",2004,"West Virginia","Thyroid","8.3","168",1816438
"311",2004,"Wisconsin","Thyroid","9.2","513",5514026
"312",2004,"Wyoming","Thyroid","14.7","77",509106
"313",2005,"Alabama","Thyroid","7","331",4565917
"314",2005,"Alaska","Thyroid","11.5","69",666946
"315",2005,"Arizona","Thyroid","12.3","720",5839077
"316",2005,"Arkansas","Thyroid","6.4","180",2781097
"317",2005,"California","Thyroid","9.2","3222",35827943
"318",2005,"Colorado","Thyroid","10.5","490",4631888
"319",2005,"Connecticut","Thyroid","14.4","524",3506956
"320",2005,"Delaware","Thyroid","11.4","100",845150
"321",2005,"District of Columbia","Thyroid","9.2","55",567136
"322",2005,"Florida","Thyroid","9.5","1830",17842038
"323",2005,"Georgia","Thyroid","8.4","735",8925922
"324",2005,"Hawaii","Thyroid","11.8","157",1292729
"325",2005,"Idaho","Thyroid","13.3","181",1428241
"326",2005,"Illinois","Thyroid","10.3","1303",12609903
"327",2005,"Indiana","Thyroid","9.6","610",6278616
"328",2005,"Iowa","Thyroid","9.9","298",2964454
"329",2005,"Kansas","Thyroid","11","300",2745299
"330",2005,"Kentucky","Thyroid","10.6","461",4182742
"331",2005,"Louisiana","Thyroid","8","348",4411396
"332",2005,"Maine","Thyroid","8.6","119",1318787
"333",2005,"Maryland","Thyroid","11.4","664",5592379
"334",2005,"Massachusetts","Thyroid","15.7","1045",6403290
"335",2005,"Michigan","Thyroid","9.4","959",10051137
"336",2005,"Minnesota","Thyroid","9","462",5119598
"337",2005,"Mississippi","Thyroid","6.8","196",2876229
"338",2005,"Missouri","Thyroid","10","599",5790300
"339",2005,"Montana","Thyroid","12.7","123",940102
"340",2005,"Nebraska","Thyroid","11.2","196",1761497
"341",2005,"Nevada","Thyroid","11.3","282",2432143
"342",2005,"New Hampshire","Thyroid","11","149",1298492
"343",2005,"New Jersey","Thyroid","13.4","1212",8651974
"344",2005,"New Mexico","Thyroid","13.3","258",1932274
"345",2005,"New York","Thyroid","13","2584",19132610
"346",2005,"North Carolina","Thyroid","9.3","831",8705407
"347",2005,"North Dakota","Thyroid","9.5","61",646089
"348",2005,"Ohio","Thyroid","9.8","1162",11463320
"349",2005,"Oklahoma","Thyroid","7.5","272",3548597
"350",2005,"Oregon","Thyroid","8.8","330",3613202
"351",2005,"Pennsylvania","Thyroid","14.3","1888",12449990
"352",2005,"Rhode Island","Thyroid","12.7","140",1067916
"353",2005,"South Carolina","Thyroid","8","352",4270150
"354",2005,"South Dakota","Thyroid","11.6","90",775493
"355",2005,"Tennessee","Thyroid","10.1","623",5991057
"356",2005,"Texas","Thyroid","10.1","2192",22773020
"357",2005,"United States","Thyroid","10.4","31175",295516599
"358",2005,"Utah","Thyroid","14.6","308",2457719
"359",2005,"Vermont","Thyroid","13","86",621215
"360",2005,"Virginia","Thyroid","8.1","638",7577105
"361",2005,"Washington","Thyroid","10.4","670",6257305
"362",2005,"West Virginia","Thyroid","10.6","211",1820492
"363",2005,"Wisconsin","Thyroid","8.8","500",5546166
"364",2005,"Wyoming","Thyroid","11.1","59",514157
"365",2006,"Alabama","Thyroid","7.2","352",4628981
"366",2006,"Alaska","Thyroid","10.6","69",675302
"367",2006,"Arizona","Thyroid","12.6","760",6029141
"368",2006,"Arkansas","Thyroid","7.8","232",2821761
"369",2006,"California","Thyroid","9.4","3339",36021202
"370",2006,"Colorado","Thyroid","10.4","498",4720423
"371",2006,"Connecticut","Thyroid","15.2","559",3517460
"372",2006,"Delaware","Thyroid","11.2","101",859268
"373",2006,"District of Columbia","Thyroid","10.7","62",570681
"374",2006,"Florida","Thyroid","9.4","1842",18166990
"375",2006,"Georgia","Thyroid","9.4","848",9155813
"376",2006,"Hawaii","Thyroid","12.4","167",1309731
"377",2006,"Idaho","Thyroid","15.3","216",1468669
"378",2006,"Illinois","Thyroid","11.3","1441",12643955
"379",2006,"Indiana","Thyroid","9.5","604",6332669
"380",2006,"Iowa","Thyroid","9.9","301",2982644
"381",2006,"Kansas","Thyroid","12.3","341",2762931
"382",2006,"Kentucky","Thyroid","11.4","498",4219239
"383",2006,"Louisiana","Thyroid","8.6","373",4302665
"384",2006,"Maine","Thyroid","14.1","202",1323619
"385",2006,"Maryland","Thyroid","11","647",5627367
"386",2006,"Massachusetts","Thyroid","17.4","1167",6410084
"387",2006,"Michigan","Thyroid","9.8","1017",10036081
"388",2006,"Minnesota","Thyroid","10.6","549",5163555
"389",2006,"Mississippi","Thyroid","8.2","236",2904978
"390",2006,"Missouri","Thyroid","10.8","647",5842704
"391",2006,"Montana","Thyroid","10.8","108",952692
"392",2006,"Nebraska","Thyroid","11.9","214",1772693
"393",2006,"Nevada","Thyroid","12.6","323",2522658
"394",2006,"New Hampshire","Thyroid","14.9","202",1308389
"395",2006,"New Jersey","Thyroid","15","1352",8661679
"396",2006,"New Mexico","Thyroid","11.9","238",1962137
"397",2006,"New York","Thyroid","13.5","2678",19104631
"398",2006,"North Carolina","Thyroid","11.2","1027",8917270
"399",2006,"North Dakota","Thyroid","12.6","82",649422
"400",2006,"Ohio","Thyroid","10.1","1203",11481213
"401",2006,"Oklahoma","Thyroid","9.2","334",3594090
"402",2006,"Oregon","Thyroid","10.2","393",3670883
"403",2006,"Pennsylvania","Thyroid","15.7","2077",12510809
"404",2006,"Rhode Island","Thyroid","15.6","175",1063096
"405",2006,"South Carolina","Thyroid","8.4","380",4357847
"406",2006,"South Dakota","Thyroid","7.8","61",783033
"407",2006,"Tennessee","Thyroid","10.8","677",6088766
"408",2006,"Texas","Thyroid","10.3","2289",23359580
"409",2006,"United States","Thyroid","11","33575",298379912
"410",2006,"Utah","Thyroid","13.8","299",2525507
"411",2006,"Vermont","Thyroid","12.8","84",622892
"412",2006,"Virginia","Thyroid","9.1","727",7673725
"413",2006,"Washington","Thyroid","11.4","756",6370753
"414",2006,"West Virginia","Thyroid","11.3","222",1827912
"415",2006,"Wisconsin","Thyroid","9.2","526",5577655
"416",2006,"Wyoming","Thyroid","15.8","80",522667
"417",2007,"Alabama","Thyroid","8","392",4672840
"418",2007,"Alaska","Thyroid","12.8","89",680300
"419",2007,"Arizona","Thyroid","13.3","820",6167681
"420",2007,"Arkansas","Thyroid","7.8","233",2848650
"421",2007,"California","Thyroid","10.2","3645",36250311
"422",2007,"Colorado","Thyroid","12.7","615",4803868
"423",2007,"Connecticut","Thyroid","17","638",3527270
"424",2007,"Delaware","Thyroid","10","93",871749
"425",2007,"District of Columbia","Thyroid","13.4","78",574404
"426",2007,"Florida","Thyroid","10.8","2181",18367842
"427",2007,"Georgia","Thyroid","9.8","912",9349988
"428",2007,"Hawaii","Thyroid","14.1","191",1315675
"429",2007,"Idaho","Thyroid","15.8","234",1505105
"430",2007,"Illinois","Thyroid","12.2","1559",12695866
"431",2007,"Indiana","Thyroid","10.1","645",6379599
"432",2007,"Iowa","Thyroid","10.9","331",2999212
"433",2007,"Kansas","Thyroid","14.9","414",2783785
"434",2007,"Kentucky","Thyroid","12","535",4256672
"435",2007,"Louisiana","Thyroid","8.3","367",4375581
"436",2007,"Maine","Thyroid","10.4","148",1327040
"437",2007,"Maryland","Thyroid","13.1","772",5653408
"438",2007,"Massachusetts","Thyroid","19.2","1297",6431559
"439",2007,"Michigan","Thyroid","11.5","1192",10001284
"440",2007,"Minnesota","Thyroid","10.6","563",5207203
"441",2007,"Mississippi","Thyroid","8.1","239",2928350
"442",2007,"Missouri","Thyroid","11","666",5887612
"443",2007,"Montana","Thyroid","12.7","126",964706
"444",2007,"Nebraska","Thyroid","12.7","226",1783440
"445",2007,"Nevada","Thyroid","10.9","291",2601072
"446",2007,"New Hampshire","Thyroid","14.1","200",1312540
"447",2007,"New Jersey","Thyroid","15.1","1377",8677885
"448",2007,"New Mexico","Thyroid","12.6","251",1990070
"449",2007,"New York","Thyroid","14.8","2960",19132335
"450",2007,"North Carolina","Thyroid","11.7","1106",9118037
"451",2007,"North Dakota","Thyroid","12.5","84",652822
"452",2007,"Ohio","Thyroid","10.7","1260",11500468
"453",2007,"Oklahoma","Thyroid","8.7","321",3634349
"454",2007,"Oregon","Thyroid","11.1","426",3722417
"455",2007,"Pennsylvania","Thyroid","17","2267",12563937
"456",2007,"Rhode Island","Thyroid","19.2","210",1057315
"457",2007,"South Carolina","Thyroid","8.7","402",4444110
"458",2007,"South Dakota","Thyroid","10","78",791623
"459",2007,"Tennessee","Thyroid","12.4","791",6175727
"460",2007,"Texas","Thyroid","10.8","2460",23831983
"461",2007,"United States","Thyroid","11.9","36550",301231207
"462",2007,"Utah","Thyroid","14.5","327",2597746
"463",2007,"Vermont","Thyroid","13.3","89",623481
"464",2007,"Virginia","Thyroid","10.5","845",7751000
"465",2007,"Washington","Thyroid","11.1","739",6461587
"466",2007,"West Virginia","Thyroid","11.6","237",1834052
"467",2007,"Wisconsin","Thyroid","9.7","559",5610775
