cancer,year,cancer population
thyroid_cancer,2002,nan
thyroid_cancer,2003,580215866.0
thyroid_cancer,2004,585610596.0
thyroid_cancer,2005,590829261.0
thyroid_cancer,2006,596759824.0
thyroid_cancer,2007,602462414.0
thyroid_cancer,2008,608187932.0
thyroid_cancer,2009,613543058.0
thyroid_cancer,2010,618643332.0
thyroid_cancer,2011,623113748.0
thyroid_cancer,2012,627661980.0
