state,county,sex,year,total_mean
Arkansas,Johnson County,Males,2002,30.49
Arkansas,Lafayette County,Males,2002,31.71
Arkansas,Lawrence County,Males,2002,34.95
Arkansas,Lee County,Males,2002,34.86
Arkansas,Lincoln County,Males,2002,33.15
Arkansas,Little River County,Males,2002,31.46
Arkansas,Logan County,Males,2002,32.27
Arkansas,Lonoke County,Males,2002,30.79
Arkansas,Madison County,Males,2002,30.17
Arkansas,Marion County,Males,2002,31.99
Arkansas,Miller County,Males,2002,31.98
Arkansas,Mississippi County,Males,2002,35.92
Arkansas,Monroe County,Males,2002,33.18
Arkansas,Montgomery County,Males,2002,30.68
Arkansas,Nevada County,Males,2002,32.43
Arkansas,Newton County,Males,2002,29.77
Arkansas,Ouachita County,Males,2002,30.91
Arkansas,Perry County,Males,2002,32.41
Arkansas,Phillips County,Males,2002,34.25
Arkansas,Pike County,Males,2002,29.46
Arkansas,Poinsett County,Males,2002,38.48
Arkansas,Polk County,Males,2002,29.8
Arkansas,Pope County,Males,2002,28.07
Arkansas,Prairie County,Males,2002,32.26
Arkansas,Pulaski County,Males,2002,29.04
Arkansas,Randolph County,Males,2002,35.14
Arkansas,St. Francis County,Males,2002,34.57
Arkansas,Saline County,Males,2002,31.96
Arkansas,Scott County,Males,2002,31.74
Arkansas,Searcy County,Males,2002,32.16
Arkansas,Sebastian County,Males,2002,28.91
Arkansas,Sevier County,Males,2002,30.54
Arkansas,Sharp County,Males,2002,32.98
Arkansas,Stone County,Males,2002,32.6
Arkansas,Union County,Males,2002,30.2
Arkansas,Van Buren County,Males,2002,30.87
Arkansas,Washington County,Males,2002,26.71
Arkansas,White County,Males,2002,30.42
Arkansas,Woodruff County,Males,2002,33.72
Arkansas,Yell County,Males,2002,33.2
California,Alameda County,Males,2002,20.99
California,Alpine County,Males,2002,24.07
California,Amador County,Males,2002,24.83
California,Butte County,Males,2002,24.95
California,Calaveras County,Males,2002,24.31
California,Colusa County,Males,2002,28.4
California,Contra Costa County,Males,2002,20.33
California,Del Norte County,Males,2002,29.19
California,El Dorado County,Males,2002,21.64
California,Fresno County,Males,2002,24.47
California,Glenn County,Males,2002,28.4
California,Humboldt County,Males,2002,24.84
California,Imperial County,Males,2002,24.16
California,Inyo County,Males,2002,27.21
California,Kern County,Males,2002,27.84
California,Kings County,Males,2002,26.94
California,Lake County,Males,2002,29.57
California,Lassen County,Males,2002,27.93
California,Los Angeles County,Males,2002,24.82
California,Madera County,Males,2002,26.63
California,Marin County,Males,2002,18.3
California,Mariposa County,Males,2002,24.37
California,Mendocino County,Males,2002,26.36
California,Merced County,Males,2002,26.52
California,Modoc County,Males,2002,27.48
California,Mono County,Males,2002,22.33
California,Monterey County,Males,2002,24.81
California,Napa County,Males,2002,23.85
California,Nevada County,Males,2002,22.92
California,Orange County,Males,2002,19.38
California,Placer County,Males,2002,20.69
California,Plumas County,Males,2002,25.7
California,Riverside County,Males,2002,22.63
California,Sacramento County,Males,2002,22.48
California,San Benito County,Males,2002,23.6
California,San Bernardino County,Males,2002,25.43
California,San Diego County,Males,2002,20.43
California,San Francisco County,Males,2002,20.94
California,San Joaquin County,Males,2002,24.98
California,San Luis Obispo County,Males,2002,22.44
California,San Mateo County,Males,2002,20.38
California,Santa Barbara County,Males,2002,21.98
California,Santa Clara County,Males,2002,18.62
California,Santa Cruz County,Males,2002,20.9
California,Shasta County,Males,2002,28.03
California,Sierra County,Males,2002,26.45
California,Siskiyou County,Males,2002,25.58
California,Solano County,Males,2002,24.14
California,Sonoma County,Males,2002,23.69
California,Stanislaus County,Males,2002,26.46
California,Sutter County,Males,2002,27.33
California,Tehama County,Males,2002,29.09
California,Trinity County,Males,2002,26.98
California,Tulare County,Males,2002,26.44
California,Tuolumne County,Males,2002,27.18
California,Ventura County,Males,2002,23.26
California,Yolo County,Males,2002,20.86
California,Yuba County,Males,2002,30.01
Colorado,Alamosa County,Males,2002,23.02
Colorado,Arapahoe County,Males,2002,22.85
Colorado,Archuleta County,Males,2002,23.96
Colorado,Baca County,Males,2002,25.95
Colorado,Bent County,Males,2002,28.96
Colorado,Adams County/Boulder County/Broomfield County/Jefferson County/Weld County,Males,2002,22.49
Colorado,Chaffee County,Males,2002,25.62
Colorado,Cheyenne County,Males,2002,23.68
Colorado,Clear Creek County,Males,2002,21.69
Colorado,Conejos County,Males,2002,25.66
Colorado,Costilla County,Males,2002,25.36
Colorado,Crowley County,Males,2002,27.76
Colorado,Custer County,Males,2002,24.04
Colorado,Delta County,Males,2002,24.6
Colorado,Denver County,Males,2002,26.15
Colorado,Dolores County,Males,2002,27.8
Colorado,Douglas County,Males,2002,16.06
Colorado,Eagle County,Males,2002,20.87
Colorado,Elbert County,Males,2002,21.53
Colorado,El Paso County,Males,2002,23.14
Colorado,Fremont County,Males,2002,31.74
Colorado,Garfield County,Males,2002,25.94
Colorado,Gilpin County,Males,2002,22.22
Colorado,Grand County,Males,2002,22.56
Colorado,Gunnison County,Males,2002,17.87
Colorado,Hinsdale County,Males,2002,22.94
Colorado,Huerfano County,Males,2002,27.22
Colorado,Jackson County,Males,2002,24.73
Colorado,Kiowa County,Males,2002,24.79
Colorado,Kit Carson County,Males,2002,26.57
Colorado,Lake County,Males,2002,28.64
Colorado,La Plata County,Males,2002,20.71
Colorado,Larimer County,Males,2002,21.82
Colorado,Las Animas County,Males,2002,26.39
Colorado,Lincoln County,Males,2002,26.61
Colorado,Logan County,Males,2002,27.46
Colorado,Mesa County,Males,2002,24.55
Colorado,Mineral County,Males,2002,21.56
Colorado,Moffat County,Males,2002,30.25
Colorado,Montezuma County,Males,2002,24.77
Colorado,Montrose County,Males,2002,26.34
Colorado,Morgan County,Males,2002,28.76
Colorado,Otero County,Males,2002,27.71
Colorado,Ouray County,Males,2002,20.03
Colorado,Park County,Males,2002,24.0
Colorado,Phillips County,Males,2002,24.14
Colorado,Pitkin County,Males,2002,16.63
Colorado,Prowers County,Males,2002,27.33
Colorado,Pueblo County,Males,2002,28.35
Colorado,Rio Blanco County,Males,2002,24.57
Colorado,Rio Grande County,Males,2002,24.97
Colorado,Routt County,Males,2002,20.53
Colorado,Saguache County,Males,2002,25.34
Colorado,San Juan County,Males,2002,19.33
Colorado,San Miguel County,Males,2002,17.11
Colorado,Sedgwick County,Males,2002,26.18
Colorado,Summit County,Males,2002,20.47
Colorado,Teller County,Males,2002,22.73
Colorado,Washington County,Males,2002,24.8
Colorado,Yuma County,Males,2002,25.36
Connecticut,Fairfield County,Males,2002,20.91
Connecticut,Hartford County,Males,2002,24.12
Connecticut,Litchfield County,Males,2002,24.32
Connecticut,Middlesex County,Males,2002,23.99
Connecticut,New Haven County,Males,2002,25.55
Connecticut,New London County,Males,2002,25.33
Connecticut,Tolland County,Males,2002,21.5
Connecticut,Windham County,Males,2002,27.84
Delaware,Kent County,Males,2002,28.69
Delaware,New Castle County,Males,2002,26.75
Delaware,Sussex County,Males,2002,31.62
District Of Columbia,District of Columbia,Males,2002,27.07
Florida,Alachua County,Males,2002,23.8
Florida,Baker County,Males,2002,33.45
Florida,Bay County,Males,2002,32.61
Florida,Bradford County,Males,2002,33.58
Florida,Brevard County,Males,2002,29.02
Florida,Broward County,Males,2002,25.62
Florida,Calhoun County,Males,2002,34.84
Florida,Charlotte County,Males,2002,31.68
Florida,Citrus County,Males,2002,30.58
Florida,Clay County,Males,2002,27.84
Florida,Collier County,Males,2002,27.18
Florida,Columbia County,Males,2002,33.1
Florida,DeSoto County,Males,2002,32.51
Florida,Dixie County,Males,2002,35.36
Florida,Duval County,Males,2002,28.6
Florida,Escambia County,Males,2002,28.55
Florida,Flagler County,Males,2002,30.53
Florida,Franklin County,Males,2002,33.56
Florida,Gadsden County,Males,2002,31.84
Florida,Gilchrist County,Males,2002,32.06
Florida,Glades County,Males,2002,33.33
Florida,Gulf County,Males,2002,33.31
Florida,Hamilton County,Males,2002,34.01
Florida,Hardee County,Males,2002,32.1
Florida,Hendry County,Males,2002,34.26
Florida,Hernando County,Males,2002,28.88
Florida,Highlands County,Males,2002,32.02
Florida,Hillsborough County,Males,2002,27.67
Florida,Holmes County,Males,2002,34.82
Florida,Indian River County,Males,2002,30.13
Florida,Jackson County,Males,2002,32.3
Florida,Jefferson County,Males,2002,29.0
Florida,Lafayette County,Males,2002,32.81
Florida,Lake County,Males,2002,30.87
Florida,Lee County,Males,2002,31.5
Florida,Leon County,Males,2002,21.96
Florida,Levy County,Males,2002,31.67
Florida,Liberty County,Males,2002,34.17
Florida,Madison County,Males,2002,31.82
Florida,Manatee County,Males,2002,27.26
Florida,Marion County,Males,2002,31.22
Florida,Martin County,Males,2002,28.66
Florida,Miami-Dade County,Males,2002,25.72
Florida,Monroe County,Males,2002,26.89
Florida,Nassau County,Males,2002,28.84
Florida,Okaloosa County,Males,2002,28.19
Florida,Okeechobee County,Males,2002,34.97
Florida,Orange County,Males,2002,28.81
Florida,Osceola County,Males,2002,28.92
Florida,Palm Beach County,Males,2002,25.94
Florida,Pasco County,Males,2002,29.87
Florida,Pinellas County,Males,2002,29.2
Florida,Polk County,Males,2002,30.22
Florida,Putnam County,Males,2002,34.21
Florida,St. Johns County,Males,2002,25.0
Florida,St. Lucie County,Males,2002,33.63
Florida,Santa Rosa County,Males,2002,27.52
Florida,Sarasota County,Males,2002,26.52
Florida,Seminole County,Males,2002,26.69
Florida,Sumter County,Males,2002,29.7
Florida,Suwannee County,Males,2002,31.86
Florida,Taylor County,Males,2002,33.3
Florida,Union County,Males,2002,35.38
Florida,Volusia County,Males,2002,33.19
Florida,Wakulla County,Males,2002,30.85
Florida,Walton County,Males,2002,32.27
Florida,Washington County,Males,2002,34.86
Georgia,Appling County,Males,2002,33.52
Georgia,Atkinson County,Males,2002,33.79
Georgia,Bacon County,Males,2002,34.74
Georgia,Baker County,Males,2002,30.24
Georgia,Baldwin County,Males,2002,32.82
Georgia,Banks County,Males,2002,31.86
Georgia,Barrow County,Males,2002,31.06
Georgia,Bartow County,Males,2002,31.35
Georgia,Ben Hill County,Males,2002,34.4
Georgia,Berrien County,Males,2002,32.75
Georgia,Bibb County,Males,2002,29.56
Georgia,Bleckley County,Males,2002,31.74
Georgia,Brantley County,Males,2002,31.34
Georgia,Brooks County,Males,2002,30.05
Georgia,Bryan County,Males,2002,29.61
Georgia,Bulloch County,Males,2002,26.53
Georgia,Burke County,Males,2002,33.64
Georgia,Butts County,Males,2002,34.07
Georgia,Calhoun County,Males,2002,32.23
Georgia,Camden County,Males,2002,28.1
Georgia,Candler County,Males,2002,32.15
Georgia,Carroll County,Males,2002,29.1
Georgia,Catoosa County,Males,2002,31.03
Georgia,Charlton County,Males,2002,33.86
Georgia,Chatham County,Males,2002,30.46
Georgia,Chattahoochee County,Males,2002,23.06
Georgia,Chattooga County,Males,2002,33.6
Georgia,Cherokee County,Males,2002,24.61
Georgia,Clarke County,Males,2002,22.32
Georgia,Clay County,Males,2002,32.3
Georgia,Clayton County,Males,2002,28.82
Georgia,Clinch County,Males,2002,34.25
Georgia,Cobb County,Males,2002,21.86
Georgia,Coffee County,Males,2002,33.04
Georgia,Colquitt County,Males,2002,32.41
Georgia,Columbia County,Males,2002,23.87
Georgia,Cook County,Males,2002,33.55
Georgia,Coweta County,Males,2002,27.02
Georgia,Crawford County,Males,2002,30.98
Georgia,Crisp County,Males,2002,32.49
Georgia,Dade County,Males,2002,28.92
Georgia,Dawson County,Males,2002,26.98
Georgia,Decatur County,Males,2002,31.2
Georgia,DeKalb County,Males,2002,24.42
Georgia,Dodge County,Males,2002,33.65
Georgia,Dooly County,Males,2002,31.55
Georgia,Dougherty County,Males,2002,30.35
Georgia,Douglas County,Males,2002,28.59
Georgia,Early County,Males,2002,31.5
Georgia,Echols County,Males,2002,31.14
Georgia,Effingham County,Males,2002,30.96
Georgia,Elbert County,Males,2002,32.54
Georgia,Emanuel County,Males,2002,32.17
Georgia,Evans County,Males,2002,33.47
Georgia,Fannin County,Males,2002,30.95
Georgia,Fayette County,Males,2002,20.2
Georgia,Floyd County,Males,2002,31.81
Georgia,Forsyth County,Males,2002,21.7
