state,county,sex,year,total_mean
Arkansas,Johnson County,Females,2002,30.45
Arkansas,Lafayette County,Females,2002,25.8
Arkansas,Lawrence County,Females,2002,31.17
Arkansas,Lee County,Females,2002,25.18
Arkansas,Lincoln County,Females,2002,27.5
Arkansas,Little River County,Females,2002,26.16
Arkansas,Logan County,Females,2002,31.09
Arkansas,Lonoke County,Females,2002,27.41
Arkansas,Madison County,Females,2002,30.32
Arkansas,Marion County,Females,2002,29.66
Arkansas,Miller County,Females,2002,28.15
Arkansas,Mississippi County,Females,2002,25.7
Arkansas,Monroe County,Females,2002,26.06
Arkansas,Montgomery County,Females,2002,30.23
Arkansas,Nevada County,Females,2002,23.43
Arkansas,Newton County,Females,2002,31.96
Arkansas,Ouachita County,Females,2002,23.59
Arkansas,Perry County,Females,2002,27.85
Arkansas,Phillips County,Females,2002,24.13
Arkansas,Pike County,Females,2002,27.12
Arkansas,Poinsett County,Females,2002,33.02
Arkansas,Polk County,Females,2002,29.29
Arkansas,Pope County,Females,2002,29.6
Arkansas,Prairie County,Females,2002,25.77
Arkansas,Pulaski County,Females,2002,22.09
Arkansas,Randolph County,Females,2002,29.37
Arkansas,St. Francis County,Females,2002,26.82
Arkansas,Saline County,Females,2002,25.91
Arkansas,Scott County,Females,2002,30.53
Arkansas,Searcy County,Females,2002,31.51
Arkansas,Sebastian County,Females,2002,26.89
Arkansas,Sevier County,Females,2002,26.72
Arkansas,Sharp County,Females,2002,29.46
Arkansas,Stone County,Females,2002,29.06
Arkansas,Union County,Females,2002,26.47
Arkansas,Van Buren County,Females,2002,28.8
Arkansas,Washington County,Females,2002,24.61
Arkansas,White County,Females,2002,25.62
Arkansas,Woodruff County,Females,2002,27.09
Arkansas,Yell County,Females,2002,30.16
California,Alameda County,Females,2002,14.95
California,Alpine County,Females,2002,21.72
California,Amador County,Females,2002,21.56
California,Butte County,Females,2002,22.14
California,Calaveras County,Females,2002,19.65
California,Colusa County,Females,2002,22.42
California,Contra Costa County,Females,2002,15.03
California,Del Norte County,Females,2002,28.79
California,El Dorado County,Females,2002,19.28
California,Fresno County,Females,2002,17.31
California,Glenn County,Females,2002,23.65
California,Humboldt County,Females,2002,23.27
California,Imperial County,Females,2002,15.21
California,Inyo County,Females,2002,21.35
California,Kern County,Females,2002,18.66
California,Kings County,Females,2002,17.78
California,Lake County,Females,2002,26.05
California,Lassen County,Females,2002,25.94
California,Los Angeles County,Females,2002,14.44
California,Madera County,Females,2002,20.7
California,Marin County,Females,2002,14.38
California,Mariposa County,Females,2002,19.66
California,Mendocino County,Females,2002,22.9
California,Merced County,Females,2002,18.29
California,Modoc County,Females,2002,25.98
California,Mono County,Females,2002,19.41
California,Monterey County,Females,2002,16.33
California,Napa County,Females,2002,18.4
California,Nevada County,Females,2002,18.57
California,Orange County,Females,2002,13.66
California,Placer County,Females,2002,17.28
California,Plumas County,Females,2002,22.43
California,Riverside County,Females,2002,16.93
California,Sacramento County,Females,2002,20.7
California,San Benito County,Females,2002,15.18
California,San Bernardino County,Females,2002,17.53
California,San Diego County,Females,2002,14.24
California,San Francisco County,Females,2002,16.83
