Year,Area,Cancer Type,Age-Adjusted Rate,Death Count,Population
2000,Mississippi,Liver and Intrahepatic Bile Duct,5.6,151,2848353
2000,Missouri,Liver and Intrahepatic Bile Duct,3.9,231,5607285
2000,Montana,Liver and Intrahepatic Bile Duct,3.7,36,903773
2000,Nebraska,Liver and Intrahepatic Bile Duct,2.5,45,1713820
2000,Nevada,Liver and Intrahepatic Bile Duct,4.6,84,2018741
2000,New Hampshire,Liver and Intrahepatic Bile Duct,4.6,55,1239882
2000,New Jersey,Liver and Intrahepatic Bile Duct,4.9,429,8430621
2000,New Mexico,Liver and Intrahepatic Bile Duct,5.1,88,1821204
2000,New York,Liver and Intrahepatic Bile Duct,4.8,924,19001780
2000,North Carolina,Liver and Intrahepatic Bile Duct,4,314,8081614
2000,North Dakota,Liver and Intrahepatic Bile Duct,4.1,30,642023
2000,Ohio,Liver and Intrahepatic Bile Duct,4.1,480,11363543
2000,Oklahoma,Liver and Intrahepatic Bile Duct,4.5,160,3454365
2000,Oregon,Liver and Intrahepatic Bile Duct,4.3,151,3429708
2000,Pennsylvania,Liver and Intrahepatic Bile Duct,4.4,637,12284173
2000,Rhode Island,Liver and Intrahepatic Bile Duct,5,59,1050268
2000,South Carolina,Liver and Intrahepatic Bile Duct,4.6,179,4024223
2000,South Dakota,Liver and Intrahepatic Bile Duct,2.8,23,755844
2000,Tennessee,Liver and Intrahepatic Bile Duct,4.1,234,5703719
2000,Texas,Liver and Intrahepatic Bile Duct,6,1030,20944499
2000,United States,Liver and Intrahepatic Bile Duct,4.6,12916,282162411
2000,Utah,Liver and Intrahepatic Bile Duct,3.2,52,2244502
2000,Vermont,Liver and Intrahepatic Bile Duct,3.4,21,609618
2000,Virginia,Liver and Intrahepatic Bile Duct,4.1,271,7105817
2000,Washington,Liver and Intrahepatic Bile Duct,4.7,259,5910512
2000,West Virginia,Liver and Intrahepatic Bile Duct,4.2,91,1807021
2000,Wisconsin,Liver and Intrahepatic Bile Duct,4.5,250,5373999
2000,Wyoming,Liver and Intrahepatic Bile Duct,3.3,16,494300
2001,Alabama,Liver and Intrahepatic Bile Duct,4.8,224,4467634
2001,Alaska,Liver and Intrahepatic Bile Duct,6.6,26,633714
2001,Arizona,Liver and Intrahepatic Bile Duct,4.2,223,5273477
2001,Arkansas,Liver and Intrahepatic Bile Duct,5.3,155,2691571
