Year,Area,Cancer Type,Age-Adjusted Rate,Death Count,Population
2000,Texas,Lung and Bronchus,55.7,9470,20944499
2000,United States,Lung and Bronchus,55.8,155426,282162411
2000,Utah,Lung and Bronchus,26.3,407,2244502
2000,Vermont,Lung and Bronchus,53.4,334,609618
2000,Virginia,Lung and Bronchus,58.9,3853,7105817
2000,Washington,Lung and Bronchus,57.5,3113,5910512
2000,West Virginia,Lung and Bronchus,73.4,1582,1807021
2000,Wisconsin,Lung and Bronchus,48.2,2660,5373999
2000,Wyoming,Lung and Bronchus,49.2,232,494300
2001,Alabama,Lung and Bronchus,62.6,2912,4467634
2001,Alaska,Lung and Bronchus,55.4,197,633714
2001,Arizona,Lung and Bronchus,45.7,2440,5273477
2001,Arkansas,Lung and Bronchus,68.2,2003,2691571
2001,California,Lung and Bronchus,47.2,13992,34479458
2001,Colorado,Lung and Bronchus,42,1483,4425687
2001,Connecticut,Lung and Bronchus,49.3,1846,3432835
2001,Delaware,Lung and Bronchus,63.8,521,795699
2001,District of Columbia,Lung and Bronchus,56.5,314,574504
2001,Florida,Lung and Bronchus,55.8,11793,16356966
2001,Georgia,Lung and Bronchus,61.5,4191,8377038
2001,Hawaii,Lung and Bronchus,36.8,475,1225948
2001,Idaho,Lung and Bronchus,44.6,537,1319962
2001,Illinois,Lung and Bronchus,56.5,6793,12488445
2001,Indiana,Lung and Bronchus,65,3935,6127760
2001,Iowa,Lung and Bronchus,51.4,1712,2931997
2001,Kansas,Lung and Bronchus,56.2,1555,2702162
2001,Kentucky,Lung and Bronchus,81.3,3340,4068132
2001,Louisiana,Lung and Bronchus,68.7,2890,4477875
2001,Maine,Lung and Bronchus,58.8,860,1285692
2001,Maryland,Lung and Bronchus,57.5,2889,5374691
2001,Massachusetts,Lung and Bronchus,54.6,3693,6397634
2001,Michigan,Lung and Bronchus,57.2,5642,9991120
2001,Minnesota,Lung and Bronchus,47.4,2270,4982796
2001,Mississippi,Lung and Bronchus,69,1904,2852994
2001,Missouri,Lung and Bronchus,63,3755,5641142
2001,Montana,Lung and Bronchus,59.1,577,906961
2001,Nebraska,Lung and Bronchus,52.7,945,1719836
2001,Nevada,Lung and Bronchus,63.1,1200,2098399
2001,New Hampshire,Lung and Bronchus,53.1,648,1255517
2001,New Jersey,Lung and Bronchus,52.9,4698,8492671
2001,New Mexico,Lung and Bronchus,37.7,657,1831690
2001,New York,Lung and Bronchus,48.6,9517,19082838
2001,North Carolina,Lung and Bronchus,61.3,4901,8210122
2001,North Dakota,Lung and Bronchus,49,348,639062
2001,Ohio,Lung and Bronchus,60.1,7186,11387404
2001,Oklahoma,Lung and Bronchus,64.2,2317,3467100
2001,Oregon,Lung and Bronchus,54.9,1955,3467937
2001,Pennsylvania,Lung and Bronchus,54.9,8037,12298970
2001,Rhode Island,Lung and Bronchus,55.6,648,1057142
2001,South Carolina,Lung and Bronchus,62.8,2540,4064995
2001,South Dakota,Lung and Bronchus,49.8,411,757972
2001,Tennessee,Lung and Bronchus,68.9,3988,5750789
2001,Texas,Lung and Bronchus,54.3,9395,21319622
